Geschlecht	GebJahrgang	GebMonat	Herkunft	Hauptfach	Kgroesse	Kgewicht	MonMiete	Rauchen	Allergien	MW1	MW2	MW3	MW4	MW5	MW6	MW7	MW8	MW9	MW10	Geschw	AeltGeschw	GeschGewDoz	Alternativfach
w	1985	11	VS	Politologie	165	62	490	0	1	0	1	1	0	0	1	1	1	0	0	3	1	70	Recht
w	1986	3	BE	BWL	168	58	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	85	Informatik
w	1987	10	BE	BWL	162	NA	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	NA	Psychologie
w	1986	10	BE	BWL	178	60	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	68	Veterinärmedizin
m	1986	12	BE	BWL	173	60	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	64	Recht
m	1986	11	SZ	VWL	187	74	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	70	Geographie
w	1985	3	ZH	Soziologie	182	NA	460	1	1	0	0	1	0	1	1	1	0	1	0	0	0	68	Politologie
m	1986	12	LU	BWL	179	70	220	1	0	1	0	0	1	1	0	0	0	1	0	1	0	75	Chemie
m	1986	9	LU	VWL	176	69	550	0	0	0	0	1	0	1	0	0	0	1	1	1	1	73	Sport
w	1988	8	BE	VWL	166	55	350	0	0	0	1	0	1	0	0	1	0	1	1	1	0	80	
m	1985	8	GR	BWL	171	65	490	0	1	0	0	1	0	1	1	1	0	1	1	1	1	69	Geographie
m	1986	10	SO	BWL	178	70	NA	0	0	0	0	0	0	0	0	1	0	0	1	1	0	72	Sport
w	1986	11	BE	BWL	168	63	700	0	0	1	1	1	0	1	1	0	0	0	0	2	0	70	Medizin
m	1985	9	AG	BWL	173	60	600	0	1	0	1	1	1	0	0	1	0	1	1	1	0	78	Sport
m	1986	11	BE	BWL	171	76	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	71	Zahnmedizin
w	1988	4	Deutschland	Politologie	174	61	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	67	Umweltwiss
w	1985	9	UR	BWL	168	55	400	0	0	1	0	0	0	1	1	0	1	0	1	1	0	75	Sport
w	1987	2	UR	VWL	159	60	500	0	0	0	0	0	1	0	1	1	0	0	1	1	0	78	Medien
m	1985	9	TI	BWL	186	78	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	77	Informatik
m	1985	9	ZH	Politologie	187	72	NA	1	0	1	0	0	0	1	0	1	1	0	1		2	69	Architektur
m	1984	7	GR	BWL	188	94	895	0	0	0	0	1	0	0	0	1	1	1	1	2	0	74	Sport
w	1986	5	SH	VWL	167	NA	470	0	1	0	0	1	0	1	1	1	0	0	1	2	2	75	Umweltwiss
m	1985	12	BE	Geschichte	170	64	0	2	0	0	0	1	0	1	1	1	0	1	0	2	2	68	Chemie
m	1987	9	BE	VWL	187	83	0	0	0	0	1	1	0	0	0	1	0	1	NA	4	2	70	Soziologie
m	1987	6	BE	Germanistik	182	75	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	66	Geschichte
m	1985	4	SO	VWL	187	76	475	0	0	0	0	0	0	1	0	1	0	1	1	3	2	68	Sport
m	1985	5	BE	BWL	179	75	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	75	Mathematik
w	1975	8	SZ	Sozialanthropologie	170	60	575	0	1	0	0	1	0	1	0	0	0	1	1	1	0	75	Geschichte
w	1984	4	TI	Philosophie	160	49	0	1	0	0	0	1	0	1	1	0	1	0	1	2	0	78	Psychologie
w	1982	6	SG	Politologie	157	55	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	75	Geschichte
m	1987	6	BE	BWL	180	87	0	1	0	1	0	0	1	0	0	1	1	1	0	2	2	70	Germanistik
m	1988	3	TI	BWL	180	88	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	65	Recht
m	1983	1	BE	VWL	178	73	100	0	0	0	0	0	0	1	0	0	0	0	1	1	0	80	Medizintechnik
m	1983	3	TI	Anglistik	175	64	430	2	0	1	1	0	1	0	0	0	1	1	0	1	1	78.5	Chemie
m	1986	4	ZH	Politologie	177	66	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	72	Architektur
w	1987	9	AR	BWL	161	55	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	74	Biologie
w	1987	11	BE	VWL	172	60	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	72	Spanisch
m	1984	6	Deutschland	BWL	184	80	740	0	0	0	0	1	0	1	1	0	0	1	0	1	1	60	
w	1987	4	BE	BWL	162	48	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	75	Medien
m	1984	6	BE	BWL	173	68	500	0	0	0	0	1	1	0	1	0	0	0	1	3	1	71	VWL
m	1986	2	Liechtenstein	Politologie	186	75	550	1	0	1	1	0	1	0	0	1	0	1	1	1	0	73	Psychologie
w	1986	5	VS	Soziologie	168	65	500	0	0	0	1	1	1	0	1	0	1	0	0	5	4	74	Germanistik
w	1986	8	BE	BWL	163	54	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	71	Englisch
m	1987	9	BE	VWL	175	75	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	78	Sport
w	1985	7	TI	Politologie	161	50	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	78	Intern. Bez.
m	1987	4	BE	BWL	182	68	0	0	0	0	0	1	0	1	1	0	1	0	0	2	0	60	Sport
m	1985	8	BE	BWL	174	78	0	0	0	0	0	1	0	1	1	0	1	1	1	2	0	74	Geschichte
m	1986	3	LU	BWL	179	79	400	0	0	0	0	1	0	1	1	1	0	1	0	1	0	61	Recht
m	1986	4	LU	VWL	185	92	400	0	0	1	0	1	0	0	1	1	0	1	0	4	4	62	BWL
m	1986	6	LU	Politologie	178	72	400	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	65	Recht
m	1986	12	BE	BWL	186	60	0	0	1	0	1	0	0	1	1	1	0	1	1	1	0	70	Informatik
w	1979	12	BE	Germanistik	176	65	550	0	0	1	1	0	1	0	0	1	1	0	0	2	2	70	Ethnologie
w	1986	3	LU	Geschichte	169.5	60	0	0	0	1	1	0	0	0	1	1	0	0	1	2	1	75	Medien
w	1986	8	BE	BWL	169	54	0	1	0	1	1	0	1	0	1	1	0	0	1	2	2	80	Recht
m	1984	4	AG	BWL	165	65	450	2	0	1	0	0	1	1	1	0	1	0	1	1	0	75	Medien
m	1985	9	FR	Politologie	178	68	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	75	Architektur
w	1986	4	JU	BWL	168	49	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	75	Psychologie
w	1986	4	ZG	BWL	186	68	0	1	1	0	1	1	0	0	1	0	1	1	0	3	0	79	Sport
m	1987	3	BE	VWL	187	77	0	0	1	1	0	0	1	1	0		1	0	1	1	0	70	Recht
w	1981	9	Kyrgyzstan	VWL	160	47	0	0	1	0	0	1	0	0	0	1	1	0	1	2	0	75	Politologie
w	1987	7	BE	BWL	166	56	0	0	1	1	0	0	1	1	1	0	1	1	0	2	0	65	Jus
m	1987	8	Ungarn	BWL	183	80	0	0	1	0	1	0	1	1	0	1	0	0	1	1	1	65	Freizeit u. Tourismus
w	1982	8	GR	Politologie	168.5	57	450	0	0	0	1	0	1	0	0	1	0	1	0	2	0	72	Intern. Bez.
w	1986	10	BE	BWL	164	56	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	80	Sport
w	1983	7	Russland	VWL	164	62	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	70	Englisch
m	1980	8	BE	Politologie	183	65	540	1	0	0	1	1	1	0	0	1	1	0	1	1	1	78	Geographie
m	1987	11	BE	BWL	186	79	0	1	0	1	0	0	1	1	1	0	0	1	0	2	0	76	Architektur
m	1978	2	Kurdistan	Politologie	NA	82	710	0	0	1	0	0	0	1	0	1	0	0	0	0	0	73	Soziologie
m	1987	6	SO	BWL	189	81	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	70.5	Geographie
m	1986	8	BE	BWL	172	60	600	0	0	1	1	1	0	1	1	1	0	0	1	1	0	72.3	Mathematik
w	1986	6	SG	Politologie	163	50	0	0	1	1	1	0	1	0	0	0	1	0	1	1	0	65	NA
w	1988	2	BE	Politologie	165	54	0	1	0	0	0	1	1	0	1	1	1	0	1	1	1	75	VWL
m	1986	12	LU	BWL	176	65	490	0	0	0	1	1	1	0	1	0	0	1	1	3	1	69	Geographie
w	1986	7	BE	BWL	168	53	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	NA	NA
m	1986	2	BE	BWL	182	67	0	0	0	1	1	0	1	1	0	1	1	0	0	2	0	77	Medizin
m	1987	2	BE	BWL	183	66	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	69	Geographie
m	1986	5	BE	VWL	181	70	0	0	0	0	0	0	0	1	1	1	0	1	0	2	1	73	Geographie
m	1977	4	BE	Soziologie	190	81	1000	1	0	0	0	0	0	0	1	1	1	1	1	1	0	68	VWL
w	1986	4	FR	VWL	173	55	0	0	0	0	0	1	0	0	1	1	1	1	1	2	0	72	Mathematik
w	1986	4	BE	VWL	170	58	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	78	Architektur
m	1986	7	LU	Geschichte	186	70	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	72	Germanistik
w	1986	3	Weissrussland	VWL	161	51	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	65	BWL
w	1980	3	BE	Soziologie	170	62	490	0	0	1	1	0	0	1	1	0	0	1	1	1	1	65	NA
w	1986	6	BE	BWL	172	50	470	2	1	0	1	1	1	0	0	1	0	0	1	1	0	73	Flight Attendant
w	1987	5	BE	BWL	175	60	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	72	Hebammenschule
m	1982	8	Brasilien	Politologie	191	82	900	1	0	1	1	0	1	1	0	0	1	0	1	2	2	72	Soziologie
m	1986	5	SO	BWL	187	95	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	67	NA
w	1982	7	BE	Politologie	167	55	0	1	1	0	0	1	0	1	1	1	0	1	1	1	NA	80	Chemie
m	1978	4	Türkei	BWL	185	87	850	1	0	0	1	0	1	0	1	0	1	0	1	1	0	71	Ingenieur
m	1984	3	AG	Politologie	189	72	300	0	0	0	1	1	0	0	0	1	0	1	0	1	0	65	Soziologie
m	1978	10	BE	VWL	163	63	1200	1	0	0	1	1	0	0	1	1	1	0	0	2	1	78	Soziologie
m	1985	8	SG	VWL	177	67	600	0	0	0	1	1	0	0	0	1	1	0	1	3	1	81	BWL
w	1986	6	LU	VWL	168	53	0	1	0	0	1	0	0	0	1	1	0	1	0	2	0	75	Soziologie
m	1986	5	LU	BWL	188	73	450	1	0	1	0	0	0	1	0	1	1	1	1	10	10	75	Wirtschaftsinformatik
m	1986	8	LU	BWL	178	67	450	1	0	0	1	0	0	1	0	0	0	1	1	1	0	78	Germanistik
w	1986	10	BE	Islamwissenschaften	162	48	0	0	0	1	0	1	1	1	1	0	0	1	0	4	0	71	Umweltwiss
w	1986	11	SG	Politologie	175	61	500	0	0	1	1	0	0	0	1	0	1	1	0	1	0	72	Psychologie
w	1987	2	BE	Islamwissenschaften	163	57	0	2	0	0	0	0	1	0	1	1	0	0	0	1	0	70	Politologie
w	1979	11	BE	Englisch	167	55	1200	0	0	0	0	1	0	1	1	1	0	1	0	0	0	75	Geschichte
m	1984	7	BE	BWL	188	81	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	68	Wirtschaftsinformatik
w	1986	1	GR	BWL	165	51	960	0	0	0	1	1	1	0	1	0	0	1	1	1	1	78	Seklehrerin
w	1988	5	SO	BWL	170	65	0	0	0	0	1	1	0	0	1	0	1	0	0	2	0	73	Geschichte
w	1987	8	SO	BWL	172	60	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	80	Medienwissenschaft
w	1987	4	SO	BWL	165	58	0	0	0	0	1	1	0	0	0	1	0	1	1	2	0	78	Sport
w	1985	3	LU	BWL	170	58	390	0	0	0	1	1	0	0	1	1	1	1	0	1	1	80	Sport
w	1987	4	BE	VWL	176	56	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	75	BWL
w	1988	2	BE	VWL	170	55	0	1	0	0	0	0	1	0	1	0	0	1	1	2	0	80	Politologie
w	1987	6	Liechtenstein	Politologie	172	57	380	0	0	1	0	1	1	0	1	0	0	1	0	2	0	85	Umweltwiss
w	1984	2	Schweden	BWL	168	50	1500	0	1	0	1	1	1	0	0	1	0	1	1	1	0	72	Ingenieur
m	1987	8	VS	BWL	183.5	86	600	2	0	0	1	1	0	0	1	0	1	1	0	2	2	60	Recht
m	1985	10	BE	BWL	176	65	0	2	0	0	1	0	0	1	0	1	1	0	1	1	1	70	NA
m	1985	6	BE	Politologie	172	53	0	1	1	0	1	1	0	1	1	0	0	1	0	2	1	73	Architektur
w	1982	3	LU	Politologie	169	60	525	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	70	Philosophie
w	1986	5	Italien	Italienisch	153	50	0	0	1	1	0	0	1	0	0	1	1	0	1	2	1	75	Politologie
m	1987	4	GR	BWL	180	76	0	0	1	0	1	0	1	1	0	1	0	1	0	1	1	70	Recht
w	1985	11	SG	Politologie	160	55	600	0	1	0	0	0	0	1	0	0	1	1	1	2	0	75	Kunstgeschichte
m	1987	1	BE	BWL	185	80	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	75	Recht
w	1986	3	ZH	BWL	168	50	0	1	0	1	0	0	0	1	1	0	1	1	1	3	3	75	Veterinärmedizin
m	1986	6	BE	BWL	173	69	600	0	1	1	1	0	1	0	0	0	0	0	0	5	3	70	Medizin
w	1986	12	BE	BWL	178	64	0	0	1	1	0	1	1	1	0	1	0	0	1	2	1	75	Soziologie
m	1985	6	BE	Soziologie	181	80	0	2	0	0	0	1	1	1	1	0	1	1	0	1	0	80	Physik
m	1986	10	SO	BWL	184.5	70	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	64	Medizin
m	1986	1	FR	VWL	180	94	1180	0	1	1	1	1	1	1	1	1	0	1	1	0	0	67	Journalismus
w	1981	6	BE	BWL	173	62	650	1	0	1	0	0	0	0	1	0	1	0	0	2	1	65	Sozialpädagogik
m	1984	5	BE	BWL	182	70	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	65	NA
m	1982	1	ZH	Soziologie	182	79	560	0	0	0	0	1	0	0	0	0	1	1	0	1	0	75	Psychologie
w	1988	3	TG	Soziologie	170	52	400	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	75	Geschichte
m	1982	7	LU	BWL	196	88	0	0	0	0	1	1	1	1	0	1	1	0	1	2	0	80	Chemie
m	1986	11	VS	Geschichte	175	80	540	0	1	0	1	0	1	0	1	0	1	0	1	0	0	67	Humanbiologie
m	1983	9	Mazedonien	Geschichte	180	75	0	2	1	0	1	0	0	0	1	0	1	1	0	3	3	78	Philosophie
w	1987	7	TI	VWL	164	51	540	0	0	0	0	1	0	1	1	1	0	1	1	2	1	70	Recht
w	1985	1	TI	Politologie	169	56	650	0	0	0	1	1	0	1	0	1	0	0	1	2	0	71	Sport
w	1985	12	TI	BWL	172	63	650	0	0	0	1	1	0	1	1	1	0	1	0	1	0	71	VWL
m	1984	9	BE	VWL	181	80	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	72	Biologie
w	1986	1	AG	Soziologie	160	50	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	72	Geschichte
w	1987	1	SZ	BWL	178	65	444	0	0	0	1	1	1	0	0	1	0	1	0	2	1	85	Psychologie
m	1977	2	BE	BWL	172	70	1750	0	1	0	1	1	0	1	1	1	0	1	1	1	0	65	Islamwiss
m	1987	6	LU	Politologie	187	62	200	1	0	1	1	0	1	0	0	1	1	0	1	1	0	75	Medienwissenschaft
m	1986	3	AG	Geschichte	177	65	NA	0	0	0	0	1	1	0	1	1	0	0	1	1	1	72	Germanistik
w	1982	3	LU	BWL	172	54	1200	0	0	0	0	1	0	0	1	0	0	1	1	7	2	75	NA
w	1983	5	BE	BWL	174	59	450	1	0	0	0	1	0	1	1	0	0	0	0	1	1	80	Sprachwissenschaft
m	1985	12	BE	Politologie	176	64	685	1	1	1	0	1	1	0	1	0	0	1	0	1	0	70	Geschichte
w	1984	10	AR	Soziologie	160	54	460	2	1	0	1	0	1	1	0	1	0	0	1	1	0	70	Ethnologie
w	1986	7	LU	Politologie	170	62	685	0	1	0	1	0	0	1	0	1	0	0	1	2	0	80	Chemie
w	1986	10	BE	Englisch	153	42	0	2	0	1	1	0	1	0	0	1	1	1	1	1	1	72.5	Geschichte
m	1983	8	LU	Geschichte	181	70	485	0	1	1	0	1	0	1	0	1	0	1	0	1	0	68	Physik
m	1987	7	BE	Soziologie	174	66	480	0	0	0	0	1	0	0	1	1	0	1	0	2	2	69	VWL
m	1985	10	BE	BWL	178	62	0	1	0	0	0	0	1	0	1	1	1	1	1	3	1	75	Geschichte
m	1986	6	BE	Geschichte	190	78	0	0	0	0	1	0	0	1	0	1	0	1	1	2	0	70	Politologie
m	1987	2	BE	BWL	192	90	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	76	Informatik
m	1986	7	BE	VWL	184	78	0	0	0	0	1	0	0	1	0	1	1	0	0	2	1	75	Sport
m	1986	6	BL	VWL	170	70	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	70	Recht
m	1986	8	BE	Soziologie	170	65	400	0	0	0	1	1	0	0	1	0	0	1	0	2	1	72	Sport
w	1986	10	BE	BWL	168	56	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	76	Sport
m	1986	8	ZH	BWL	183	80	0	0	0	0	0	1	0	1	1	1	0	0	0	2	1	75	Theologie
w	1983	12	Deutschland	BWL	165	54	400	2	0	0	0	1	0	1	1	1	0	1	1	1	1	73	Veterinärmedizin
w	1981	9	Deutschland	Politologie	177	80	1200	2	0	1	0	0	0	1	1	1	0	1	0	1	1	75	NA
m	1987	9	BE	Geschichte	184	65	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	70	Kunstgeschichte
m	1986	8	BL	VWL	185	71	400	0	0	0	0	1	1	0	0	0	0	1	0	2	1	76.25	Psychologie
m	1985	12	BE	VWL	188	81	NA	0	1	0	1	0	0	1	1	1	1	0	1	1	0	64	Sport
m	1986	5	BE	VWL	178	72	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	1	73	Recht
m	1986	6	LU	BWL	182	70	0	0	0	0	1	0	0	1	0	1	1	1	1	2	2	65	Recht
m	1986	6	BE	BWL	178	65	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	65	Recht
w	1985	10	BE	BWL	169	60	0	0	0	0	0	1	0	1	1	0	1	0	1	2	1	73	Psychologie
w	1987	8	BE	BWL	160	60	500	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	80	NA
m	1984	8	BL	Politologie	181	90	0	2	0	1	1	1	0	1	0	0	1	0	1	1	1	73	Geschichte
m	1988	3	Kroatien	BWL	181	75	0	0	0	0	1	1	1	0	1	0	0	1	0	2	1	73	Psychologie
m	1985	11	BL	Politologie	180	70	0	0	0	0	1	1	0	1	0	1	0	0	0	2	0	75	Geschichte
m	1984	8	BE	VWL	180	82	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	68	Psychologie
m	1982	3	BE	VWL	190	78	570	0	1	0	0	1	0	1	1	1	0	1	1	1	1	76	BWL
m	1986	6	ZG	Geschichte	180	73	500	2	1	0	1	1	0	0	1	0	1	0	1	1	0	72	NA
m	1985	6	ZG	Politologie	178	56	400	2	1	1	0	1	1	1	0	1	0	0	1	1	1	73	Ilamistik
m	1983	9	BL	VWL	176	78	465	1	0	0	1	1	0	0	0	1	0	1	NA	1	0	73.3	Maschineningenieur
w	1985	6	BS	Sozialanthropologie	165	58	500	0	1	0	1	1	0	0	1	1	0	1	1	1	1	74	Medizin
w	1986	6	BS	Soziologie	168	64	500	0	0	0	0	1	0	1	1	0	0	0	1	1	0	76	Linguistik
m	1986	12	VS	Soziologie	176	69	550	0	0	0	1	0	1	1	0	1	1	0	0	2	0	65	Psychologie
m	1986	12	BE	BWL	187	88	445	2	1	0	0	1	0	1	1	0	1	0	0	2	2	70	BWL
